1,27
1,45
1,47
1,58
2,5
2,54
2,63
2,67
3,39
3,46
3,57
4,17
5,77
5,95
6,81
7,25
7,49
7,64
8,48
9,100
11,13
11,61
11,64
11,68
11,76
12,57
12,64
12,89
13,45
13,89
14,24
14,31
14,68
14,84
14,94
15,61
15,65
16,68
17,82
18,61
18,73
19,34
19,82
19,94
20,24
20,41
20,43
20,45
20,72
20,92
20,96
21,24
21,36
21,56
21,74
22,92
24,60
24,77
24,81
25,91
27,56
27,70
28,44
28,52
28,69
28,98
29,86
30,83
33,34
34,63
34,93
36,48
36,100
38,94
39,89
39,97
40,52
40,62
40,72
40,99
41,47
41,89
41,93
42,45
42,79
44,50
44,74
44,77
46,49
46,68
47,96
48,54
48,66
48,68
48,82
49,58
51,63
51,73
52,60
54,98
57,60
57,83
57,87
58,68
58,71
58,83
58,84
61,81
62,70
62,79
62,83
65,97
67,81
67,84
68,93
69,96
70,81
70,96
71,87
72,90
73,80
73,81
74,85
75,79
78,99
87,100
91,94
92,94
93,95
