2,1
3,2
4,2
5,1
6,2
7,5
8,2
9,8
10,2
11,2
12,2
13,1
14,8
15,7
16,15
17,8
18,10
19,1
20,3
21,10
22,2
23,21
24,11
25,2
26,5
27,4
28,18
29,4
30,29
31,21
32,23
33,18
34,23
35,4
36,17
37,2
38,37
39,20
40,1
41,16
42,1
43,29
44,20
45,23
46,45
47,15
48,33
49,37
50,36
51,46
52,5
53,43
54,43
55,46
56,12
57,43
58,49
59,1
60,9
61,35
62,22
63,2
64,59
65,43
66,22
67,37
68,59
69,43
70,63
71,5
72,69
73,8
74,43
75,19
76,47
77,2
78,2
79,2
80,2
81,11
82,17
83,2
84,29
85,4
86,35
87,41
88,8
89,73
90,7
91,12
92,18
93,8
94,72
95,17
96,20
97,4
98,29
99,20
100,35
